"GeoUID","CMA_UID","CD_UID","CCS_UID","CSD_UID","Population2016","Region_name","freeman_cma_gentrifiable","freeman_cma_gentrified","freeman_cd_gentrifiable","freeman_cd_gentrified","freeman_ccs_gentrifiable","freeman_ccs_gentrified","ding_cma_gentrifiable","ding_cma_gentrified","ding_cma_gentrified_category","ding_cd_gentrifiable","ding_cd_gentrified","ding_cd_gentrified_category","ding_ccs_gentrifiable","ding_ccs_gentrified","ding_ccs_gentrified_category","grube_cma_gentrifiable","grube_cma_gentrified","grube_cd_gentrifiable","grube_cd_gentrified","grube_ccs_gentrifiable","grube_ccs_gentrified","steinmetz_cma_gentrifiable","steinmetz_cma_gentrified","steinmetz_cd_gentrifiable","steinmetz_cd_gentrified","steinmetz_ccs_gentrifiable","steinmetz_ccs_gentrified"
"5350308.03","35535","3520","3520005","3520005",1147,"Toronto",1,0,0,0,0,0,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"9250022.00","59925","5933","5933044","5933042",524,"Kamloops",0,0,0,0,0,0,0,0,,0,0,,1,0,,1,0,1,0,1,0,0,0,0,0,0,0
"5350575.04","35535","3521","3521010","3521010",6198,"Brampton",0,0,1,0,1,0,0,0,,1,0,,1,0,,1,0,1,0,1,0,0,0,0,0,0,0
"5350501.01","35535","3521","3521010","3521005",5945,"Mississauga",0,0,1,0,0,0,0,0,,1,1,"moderate",0,0,,1,0,0,0,0,0,0,0,0,0,0,0
"9330016.01","59933","5915","5915022","5915022",5257,"Vancouver",0,0,0,0,0,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,1,0,1,0,1,0
"9330260.11","59933","5915","5915020","5915043",191,"Port Moody",0,0,0,0,0,0,0,0,,0,0,,1,0,,0,0,0,0,1,0,0,0,0,0,0,0
"9150013.00","59915","5935","5935012","5935010",1058,"Kelowna",1,0,1,0,1,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,1,0,1,0,1,0
"9330049.01","59933","5915","5915022","5915022",13855,"Vancouver",0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"9250004.00","59925","5933","5933044","5933042",7807,"Kamloops",0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"5680102.04","35568","3543","3543009","3543042",113,"Barrie",0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"9150014.00","59915","5935","5935012","5935010",3531,"Kelowna",1,1,1,1,1,1,1,1,"intense",1,1,"intense",1,1,"intense",1,0,1,0,1,0,1,0,1,0,0,0
"5350412.01","35535","3519","3519028","3519028",6419,"Vaughan",0,0,1,0,1,0,0,0,,1,1,"intense",1,1,"intense",0,0,1,0,1,0,0,0,0,0,0,0
"5370026.02","35537","3525","3525005","3525005",1819,"Hamilton",0,0,0,0,0,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,0,0,0,0,0,0
"9250007.00","59925","5933","5933044","5933042",2241,"Kamloops",0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"9250008.00","59925","5933","5933044","5933042",2954,"Kamloops",1,1,1,1,1,1,1,1,"moderate",1,1,"moderate",1,1,"moderate",0,0,0,0,0,0,0,0,0,0,0,0
"9150012.00","59915","5935","5935012","5935010",2606,"Kelowna",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
"9150015.00","59915","5935","5935012","5935010",5993,"Kelowna",0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"5350423.01","35535","3519","3519048","3519038",3719,"Richmond Hill",0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"5350423.02","35535","3519","3519048","3519038",7786,"Richmond Hill",0,0,1,1,0,0,0,0,,1,1,"intense",0,0,,0,0,0,0,0,0,0,0,0,0,0,0
